Наименование;Цена
HDD WD  My Passport 5Tb;180
HDD Seagate OneTouch with HUB   8Tb USB3.0 + 2-port USB3.0 hub;295
HDD TRANSCEND  HDD 2Tb;145
Жоский Диски;
HDD  WD Purple  1 TB  New;120
HDD  WD Purple  10 TB  New;470
HDD  WD Purple  14 TB  New;470
HDD  WD Purple  2 TB  New;140
HDD  WD Purple  8 TB  New;360
SSD 2,5 Lexar 512 GB;70
SSD Lexar M.2 2280 NVMe SSD 1ТB;140
SSD Lexar M.2 2280 NVMe SSD 512;75
SSD NVMe Samsung 990 Evo plus 1 TB;230
SSD NVMe Samsung 990 Evo plus 2 TB;330
SSD NVMe Samsung 990 Pro 1TB;240
SSD NVMe Samsung 990 Pro 2TB;380
SSD 2,5 Lexar 128 GB;25
HDD  WD Purple  4 TB  New;170
HDD  WD Purple  6 TB  New;235
SSD Lexar M.2 2280 NVMe SSD 2ТB;215
SSD NVMe Lexar 1TB LNM 790;165
SSD NVMe Lexar 2TB LNM 790;260
SSD HP FX 700  NVMe SSD 512;80
HDD 1TB  2,5 Ноутбучный;60
SSD NVMe Samsung  256 Gb;55
SSD Kingston M.2 2280 NVMe SSD 1 TB;130
SSD NVMe Samsung 980 512 Gb;100
SSD Lexar THOR PRO M.2 2280 NVMe SSD 512;100
SSD 2,5 Lexar 1TB;110
SSD Lexar M.2 2280 NVMe SSD 256;55
SSD 2,5 Kingston 480 Gb;90
SSD  2,5 Lexar 2TB;190
SSD NVMe Lexar 512 GB LNM 790;95
SSD 2,5 Lexar 256 GB;45
Кабель Бейсус;
Кабель Baseus High Speed CAT5 Gigabit   (Round Cable)10m Cluster Black;5
Кабель Baseus High Speed CAT5 Gigabit  (Round Cable)8m Cluster Black;4
Кабель P10381400111-00 Baseus Dynamic 4 Fast Charging Data Cable USB-C to USB-C 100W 1m;4
Кабеля UTP SFTP FTP;
Кабель SFTP MERCURY CAT 6 SFTP 305M Cable;68
Кабель UTP MERCURY CAT 6 UTP 305M Cable;45
Кабель SFTP Cat6   305M Бабина Сафед  Китай;55
Кабель SFTP Cat6  Сиех Бабина арзон;105
Кабель SFTP Cat6 0.56mm Copper, 80*0.12AL-MGbraiding PVC+PEdouble Jacket  Outdoor;150
Кабель Питани;1
Кабель Принтер 1,5;1
Кабель SFTP AMPXL 6668 Сat 6 24AVG;150
OM3-150M indoor fiber cable  , PVC jacket 4 cores;260
Кабель SFTP Cat6 0.56mm Copper, 80*0.12 AL-MG braiding   Indoor;145
Картриджы Гуанчо Хитой;
Картридж Canon cartridge CF238X/CRG-737 Аsta;8
Картридж Canon cartridge CRG-051D;10
Картридж CF219A;9
Картридж Xerox 3130;35
Картридж Xerox 3140;10
Картридж Xerox 3345;30
Картридж 703A FX-10/12;8
Картридж Canon ЕР 27;8
Картридж hp 53A;7
Картридж SAMSUNG MLT-D101S;9
Картридж SAMSUNG MLT-D111S;7
Картридж CB435A    Asta;7
